Category;Title;Type;ShortDesc;Date;Wip;Conference;Place;UrlFile;UrlPlace
Misc;Cartan calculus on smooth manifolds;Notes;A compact cheatsheet with the basic computation rules;10/10/2017;0;UCSC;Brescia;https://www.dropbox.com/s/7vkify6uas9rst4/1710-Unicatt-CartanCheatsheet.pdf?dl=0;https://github.com/MasterToninus/Differential-Geometer-Toolbox
Presentation;Multi-symplectic Geometry and Covariant Phase Space;Poster;;31/6/2017;0;11th GMC summer school;ICMAT, Madrid;https://www.researchgate.net/publication/319301416_Multi-symplectic_Geometry_and_Covariant_Phase_Space;https://web.archive.org/web/20170623165825/http://gmcnet.webs.ull.es/?q=activity-detaill/1812
Misc;Covariant Phase Space Via Multysimplectic Geometry;Notes;On the covariant phase space in the multisymplectic framework;01/05/2017;0;UCSC;Brescia;https://www.researchgate.net/publication/319301194_Notes_on_Covariant_Phase_Space_via_MultiSymplectic_Geometry;
Presentation;An invitation to Geometric Mechanics;Talk;;28/11/2017;0;UCSC;Brescia;https://www.dropbox.com/s/k066hn2ubovhaop/1711-talk-invitationGeoMec.pdf?dl=0;
Misc;Duffing system in Python;Code;Solving Duffing Equation by means of Runge-Kutta method;08/02/2018;0;;;https://github.com/matiot/duffing;
Presentation;On some (multi)symplectic aspects of link invariants;Talk;;24/05/2018;0;-;KU Leuven;https://www.dropbox.com/s/bu4aqt3mvptnnn7/1805-Talk-knotsLeuven.pdf?dl=0;
Presentation;Homotopy co-momentum Map in Hydrodynamics;Talk;;07/12/2018;0;13th GMC Young researcher's workshop;Coimbra;https://www.researchgate.net/publication/329572409_Homotopy_co-momentum_Map_in_Hydrodynamics;https://web.archive.org/web/20190831103121/http://www.uc.pt/en/congressos/13yrw/programa
Misc;MultiSymplectic Geometry and Classical Field systems;Notes;On the multisymplectic framework of classical field theories;28/02/2019;1;;;https://github.com/MasterToninus/Multi-Symplectic/blob/master/ms-mechanics.tex;
Presentation;Multisymplectic Geometry and Knots;Talk;;19/03/2019;0;UniSa;Fisciano;https://www.researchgate.net/publication/331939491_Multisymplectic_aspects_of_link_invariants;http://geometria.dipmat.unisa.it/events.html
Presentation;MultiSymplectic manifolds and homotopy co-momentum maps;Poster;;18/12/2019;0;Supergeometry conference;Luxembourg;https://www.researchgate.net/publication/338019063_Multisymplectic_manifolds_and_Homotopy_co-momentum_maps;http://math.uni.lu/SuperWork/SuperConference.html
Presentation;Gauge transformations of multisymplectic manifolds and L_infinity observables;Talk;;05/05/2020;0;Poisson seminar;KU Leuven;https://www.researchgate.net/publication/344044689_Gauge_transformations_of_multisymplectic_manifolds_and_L_infinity_observables;https://wis.kuleuven.be/meetkunde/PoissonWorkingGroup
Presentation;Homotopy co-moment maps for compact actions on spheres;Talk;;10/09/2020;0;Workshop on Multisymplectic Geometry;KU Leuven;https://www.researchgate.net/publication/344220375_Homotopy_co-moment_maps_for_compact_actions_on_spheres;https://wis.kuleuven.be/events/archive/multisymplectic
Presentation;Phd Preliminary Defence;Talk;;02/02/2021;0;-;KU Leuven;https://www.researchgate.net/publication/349338923_Homotopy_comomentum_maps_in_Multisymplectic_Geometry_-_Preliminary_Defence_-International_Doctoral_Programme_in_Science?_sg=_8yyk71v7WV2Phl6NlcJUyV5DkmWzsbu42MvKbKbOXPVoxLjdmIGe3WaBhDou4SwVlF9-Qa-5mBmKVujQnKIM2D8qVD73vWCoFrs92Tn.bmXH8E7GVtOa2hGIwjjGLBEIS1pA3FnFwXKJBlAhjqqLMtqKijWpZ1Swq1ggONmECrV2Z8sjbOOVfRR2n3VELQ;
Presentation;What is: Geometric mechanics?;Talk;;28/04/2021;0;PhD colloquium;KU Leuven;https://www.researchgate.net/publication/351492814_What_is_Geometric_Mechanics?_sg=vSg5acjjWpCOUIOlNzmTfzxalvxdWWwZFQhwJr4_jFOxtgY2a9OFCb0NRBPrH6SNRfaQpiS42zVXnbsX2h7FM1mbXDn-SdSeBLl-alKs.C3VSm6mrkcri0H8GhrGokGsANNwD1VrqyZKMU0K5B8VPEAoWuPNTXfSZI8IjxY6mgPO_Ux8dMuygrWZnUV1g1g;https://wis.kuleuven.be/agenda/PhdColloquia/ay20-21/copy4_of_PhD-coll-Molag
Presentation;Gauge transformations of multisymplectic manifolds and L-infinity observables;Talk;;13/7/2021;0;Young Researchers' Virtual Multisymplectic Geometry Conference;EIMI, Saint Petersburg;https://www.researchgate.net/publication/353463068_Gauge_transformations_of_multisymplectic_manifolds_and_L_observables;https://public.eimi.ru/~cblacker/yrvmgc_21.html
Presentation;Gauge transformations of multisymplectic manifolds and L-infinity observables;Talk;;15/12/2021;0;Higher geometry seminar;MPIM, Bonn;https://www.dropbox.com/s/x267gvrge9xghq1/2112-Bonn-HigherSeminar.pdf?dl=0;https://www.mpim-bonn.mpg.de/node/10904?ip_login_no_cache=9096f948f1ff41ed748252c9263e6a1a
Presentation;Morphisms and Yoneda lemma for stacks;Talk;;02/03/2022;0;Reading seminars on differentiable stacks;MPIM, Bonn;https://www.dropbox.com/s/rfu7cw1plq0wpzb/2203-Bonn-StackMorphisms.pdf?dl=0;https://www.dropbox.com/s/a9tmw4g8m58ymkf/2203-Bonn-StackReadingSeminar.pdf?dl=0
Presentation;Symmetries and reduction of multisymplectic manifolds;Talk;;07/04/2022;0;MPI-Oberseminar;MPIM, Bonn;https://www.researchgate.net/publication/359847200_Symmetries_and_Reduction_of_Multisymplectic_Manifolds;https://www.mpim-bonn.mpg.de/node/158
Presentation;L∞-structures via the Nijenhuis-Richardson algebra;Talk;;13/06/2022;0;Good Morning Sfars;online;https://www.researchgate.net/publication/361261330_L_-structures_via_the_Nijenhuis-Richardson_algebra;https://discord.com/channels/755703470195081306/981502577545973811
Presentation;Symmetries and reduction of multisymplectic manifolds;Talk;;25/08/2022;0;Higher Structures and Field Theory;Esi, Vienna;https://www.researchgate.net/publication/359847200_Symmetries_and_Reduction_of_Multisymplectic_Manifolds;https://www.esi.ac.at/events/t1028/
Presentation;Multisymplectic observables and higher Courant algebroids;Talk;;09/12/2022;0;"Séminaire Physique mathématique"; ICJ, Lyon;https://www.researchgate.net/publication/366216470_Multisymplectic_observables_and_higher_Courant_algebroids;https://indico.math.cnrs.fr/event/8621/
Presentation;First steps in geometric quantum mechanics;Talk;;25/01/2023;0;PhD Seminar; UCSC, Brescia;https://www.dropbox.com/s/8daetmem0kkp443/2301-Brescia-PhdSeminar.pdf?dl=0;https://www.dropbox.com/s/oqd6psmeiexwhnt/2301-Brescia-PhdSeminar.pdf?dl=0
Presentation;On the Lie infinity algebra associated to higher Courant algebroids;Talk;;21/02/2023;0;Higher structures working group; ICJ, Lyon;https://www.dropbox.com/s/whusmg6kj8dbqd7/2302-Lyon-HigherGeoWorkgroup.pdf?dl=0
Presentation;Multisymplectic observables and higher Courant algebroids;Talk;;28/05/2023;0;"Joint seminar in mathematical physics"; UniPv, Pavia;https://www.dropbox.com/s/gx9cslaoa8488w2/2304-Pavia-MsReduction.pdf?dl=0;https://mathematicalphysicspavia.wordpress.com/2023/04/04/antonio-michele-miti-28-04-2023-symmetries-and-reduction-of-multisymplectic-manifoldsantonio-michele-miti/
Presentation;The multisymplectic structure of Lagrangian field theories;Talk;;11/07/2023;0;Higher structures working group; UniGoettingen, Gottingen;https://www.dropbox.com/scl/fi/xmtn9ylsyumbmzmw9x8pc/2307-Gottingen-MsLFT.pdf?rlkey=utee9k269l43uijv1fwz3sudb&dl=0
